Iter = 1, PhenoGraph_k = 30, complete_graph (percentile=95,k=10), Overall Survival, Number of Groups = 5, p-value = 0.00117
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=95,k=10), Overall Survival, Number of Groups = 10, p-value = 0.00975
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=90,k=10), Overall Survival, Number of Groups = 9, p-value = 0.00441
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=85,k=10), Overall Survival, Number of Groups = 6, p-value = 0.02485
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=80,k=10), Overall Survival, Number of Groups = 6, p-value = 0.04558
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=75,k=10), Overall Survival, Number of Groups = 6, p-value = 0.00427
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=70,k=10), Overall Survival, Number of Groups = 6, p-value = 0.05835
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=65,k=10), Overall Survival, Number of Groups = 5, p-value = 0.00738
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=60,k=10), Overall Survival, Number of Groups = 6, p-value = 0.01483
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=55,k=10), Overall Survival, Number of Groups = 5, p-value = 0.00801
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=50,k=10), Overall Survival, Number of Groups = 5, p-value = 0.00134
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=3), Overall Survival, Number of Groups = 11, p-value = 0.00013
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=5), Overall Survival, Number of Groups = 12, p-value = 0.00044
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=10), Overall Survival, Number of Groups = 11, p-value = 0.00887
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=15), Overall Survival, Number of Groups = 10, p-value = 0.01099
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=20), Overall Survival, Number of Groups = 10, p-value = 0.00644
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=25), Overall Survival, Number of Groups = 8, p-value = 0.06823
Iter = 1, PhenoGraph_k = 30, knn_graph (percentile=95,k=30), Overall Survival, Number of Groups = 8, p-value = 0.12030
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=3), Overall Survival, Number of Groups = 10, p-value = 0.01420
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=5), Overall Survival, Number of Groups = 10, p-value = 0.00049
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=10), Overall Survival, Number of Groups = 10, p-value = 0.00486
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=15), Overall Survival, Number of Groups = 8, p-value = 0.03800
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=20), Overall Survival, Number of Groups = 7, p-value = 0.09445
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=25), Overall Survival, Number of Groups = 7, p-value = 0.12034
Iter = 1, PhenoGraph_k = 30, two_step_knn_graph (percentile=95,k=30), Overall Survival, Number of Groups = 7, p-value = 0.03173
Iter = 1, PhenoGraph_k = 30, complete_graph (percentile=95,k=10), Disease-specific Survival, Number of Groups = 5, p-value = 0.01120
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=95,k=10), Disease-specific Survival, Number of Groups = 10, p-value = 0.22170
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=90,k=10), Disease-specific Survival, Number of Groups = 9, p-value = 0.06271
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=85,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.02627
Iter = 1, PhenoGraph_k = 30, complete_graph_with_weak_edges_removed (percentile=80,k=10), Disease-specific Survival, Number of Groups = 6, p-value = 0.02198
